Date,Predicted,RegimeCode
2017-07-24,35.636852,1
2017-07-25,35.858555,1
2017-07-26,36.059525,1
2017-07-27,36.242855,1
2017-07-28,35.957676,1
2017-07-31,35.66108,1
2017-08-01,35.425613,1
2017-08-02,35.48882,1
2017-08-03,36.43925,1
2017-08-04,36.73574,1
2017-08-07,36.934643,1
2017-08-08,37.32829,1
2017-08-09,37.68471,1
2017-08-10,37.97211,1
2017-08-11,37.448307,1
2017-08-14,37.430473,1
2017-08-15,37.75816,1
2017-08-16,38.155632,1
2017-08-17,38.26083,1
2017-08-18,37.89607,1
2017-08-21,37.65156,1
2017-08-22,37.509636,1
2017-08-23,37.779068,1
2017-08-24,37.95557,1
2017-08-25,37.940273,1
2017-08-28,37.99612,1
2017-08-29,38.232185,1
2017-08-30,38.536846,1
2017-08-31,38.738277,1
2017-09-01,38.90785,1
2017-09-05,38.99076,1
2017-09-06,38.772182,1
2017-09-07,38.630417,1
2017-09-08,38.48718,1
2017-09-11,38.08519,1
2017-09-12,38.24938,0
2017-09-13,38.27991,1
2017-09-14,38.130608,1
2017-09-15,37.87487,0
2017-09-18,37.954094,0
2017-09-19,37.857628,0
2017-09-20,37.8092,0
2017-09-21,37.45003,0
2017-09-22,36.921635,-1
2017-09-25,36.474884,-1
2017-09-26,36.10237,-1
2017-09-27,36.265423,-1
2017-09-28,36.513992,-1
2017-09-29,36.51239,-1
2017-10-02,36.6023,-1
2017-10-03,36.609913,-1
2017-10-04,36.6936,-1
2017-10-05,36.609447,-1
2017-10-06,36.80371,-1
2017-10-09,36.899994,-1
2017-10-10,37.007164,-1
2017-10-11,37.065117,-1
2017-10-12,37.171856,-1
2017-10-13,37.154213,-1
2017-10-16,37.264637,-1
2017-10-17,37.693184,-1
2017-10-18,37.987156,0
2017-10-19,38.023724,0
2017-10-20,37.541473,0
2017-10-23,37.32009,-1
2017-10-24,37.224762,-1
2017-10-25,37.30774,-1
2017-10-26,37.269356,-1
2017-10-27,37.37133,-1
2017-10-30,38.14769,-1
2017-10-31,39.018456,-1
2017-11-01,39.72301,-1
2017-11-02,39.763332,0
2017-11-03,39.895615,0
2017-11-06,40.524242,0
2017-11-07,41.070873,0
2017-11-08,41.39022,0
2017-11-09,41.706394,0
2017-11-10,41.80699,0
2017-11-13,41.76601,0
2017-11-14,41.649002,0
2017-11-15,41.253605,0
2017-11-16,40.763863,0
2017-11-17,40.790783,-1
2017-11-20,40.714718,-1
2017-11-21,40.650894,-1
2017-11-22,41.026924,-1
2017-11-24,41.461906,-1
2017-11-27,41.66761,0
2017-11-28,41.634987,0
2017-11-29,41.474033,0
2017-11-30,40.931625,0
2017-12-01,40.96066,-1
2017-12-04,40.90849,-1
2017-12-05,40.718826,-1
2017-12-06,40.601677,-1
2017-12-07,40.471302,-1
2017-12-08,40.449768,-1
2017-12-11,40.453022,-1
2017-12-12,40.878864,0
2017-12-13,40.978203,1
2017-12-14,41.075966,1
2017-12-15,41.114643,1
2017-12-18,41.353172,1
2017-12-19,41.790417,1
2017-12-20,41.76431,1
