Date,Predicted,Regime
2018-11-21,44.20601,Sideways
2018-11-23,43.3875,Sideways
2018-11-26,42.475174,Sideways
2018-11-27,42.3498,Bear
2018-11-28,42.291656,Bear
2018-11-29,43.139206,Bear
2018-11-30,43.406593,Sideways
2018-12-03,43.36547,Sideways
2018-12-04,44.138046,Bear
2018-12-06,43.489326,Sideways
2018-12-07,42.8423,Bear
2018-12-10,41.733574,Bear
2018-12-11,41.33654,Bear
2018-12-12,41.072643,Bear
2018-12-13,41.01984,Bear
2018-12-14,41.24886,Bear
2018-12-17,40.660267,Bear
2018-12-18,40.134754,Bear
2018-12-19,40.172813,Bear
2018-12-20,39.552345,Bear
2018-12-21,38.694576,Bear
2018-12-24,37.488953,Bear
2018-12-26,36.40159,Bear
2018-12-27,37.251194,Bear
2018-12-28,37.634853,Bear
2018-12-31,37.79098,Bear
2019-01-02,38.043865,Bear
2019-01-03,38.189873,Bear
2019-01-04,36.20381,Bear
2019-01-07,35.938507,Bear
2019-01-08,35.884186,Bear
2019-01-09,36.23915,Bear
2019-01-10,36.761856,Bear
2019-01-11,37.077175,Bear
2019-01-14,37.01256,Bear
2019-01-15,36.6602,Bear
2019-01-16,36.878464,Bear
2019-01-17,37.259663,Bear
2019-01-18,37.566044,Bear
2019-01-22,37.82771,Bear
2019-01-23,37.487915,Bear
2019-01-24,37.373123,Bear
2019-01-25,37.176266,Bear
2019-01-28,37.738583,Bear
2019-01-29,37.857445,Bear
2019-01-30,37.672905,Bear
2019-01-31,38.943382,Bear
2019-02-01,39.779068,Bear
2019-02-04,40.147522,Bear
2019-02-05,40.903465,Bear
2019-02-06,41.659576,Bear
2019-02-07,42.017483,Bear
2019-02-08,41.728813,Bear
2019-02-11,41.581223,Bear
2019-02-12,41.395233,Bear
2019-02-13,41.498425,Bear
2019-02-14,41.472343,Bear
2019-02-15,41.533154,Bear
2019-02-19,41.51725,Bear
2019-02-20,41.57163,Bear
2019-02-21,41.745033,Bear
2019-02-22,41.706055,Bear
2019-02-25,41.923973,Bear
2019-02-26,42.205864,Bear
2019-02-27,42.35328,Bear
2019-02-28,42.483376,Bear
2019-03-01,42.31784,Bear
2019-03-04,42.46046,Bear
2019-03-05,42.661404,Bear
2019-03-06,42.716297,Bear
2019-03-07,42.60042,Bear
2019-03-08,42.272198,Bear
2019-03-11,42.160732,Bear
2019-03-12,42.90597,Bear
2019-03-13,43.56773,Bear
2019-03-14,43.97221,Bear
2019-03-15,44.406403,Bear
2019-03-18,44.92144,Bear
2019-03-19,45.413208,Bear
2019-03-20,45.444736,Bear
2019-03-21,45.64346,Bear
2019-03-22,46.65216,Bear
2019-03-25,46.642593,Bear
2019-03-26,46.271553,Bear
2019-03-27,45.823147,Bear
2019-03-28,45.83147,Bear
2019-03-29,45.897736,Bear
2019-04-01,46.0928,Bear
2019-04-02,46.359547,Bear
2019-04-03,46.850365,Bear
2019-04-04,47.26503,Bear
2019-04-05,47.49603,Bear
2019-04-08,47.762325,Bear
2019-04-09,48.292946,Bear
2019-04-10,48.47689,Bear
2019-04-11,48.686363,Bear
2019-04-12,48.567112,Bear
2019-04-15,48.481167,Bear
2019-04-16,48.49124,Bear
2019-04-17,48.505062,Bear
2019-04-18,49.018757,Bear
2019-04-22,49.38331,Bear
2019-04-23,49.629513,Bear
2019-04-24,50.121094,Bear
2019-04-25,50.322178,Bear
2019-04-26,50.15117,Sideways
2019-04-29,49.92098,Bear
2019-04-30,49.852077,Bear
2019-05-01,49.31633,Bear
2019-05-02,50.326134,Bear
2019-05-03,50.712135,Sideways
2019-05-06,51.189583,Sideways
2019-05-07,50.988598,Sideways
2019-05-08,50.118633,Sideways
2019-05-09,49.680237,Bear
2019-05-10,49.221348,Sideways
2019-05-13,48.64504,Sideways
2019-05-14,46.868343,Sideways
2019-05-15,46.3564,Bear
2019-05-16,46.49699,Bear
2019-05-17,46.492336,Bear
2019-05-20,46.337753,Sideways
2019-05-21,45.48052,Sideways
2019-05-22,45.49926,Sideways
2019-05-23,45.062614,Sideways
2019-05-24,44.421898,Sideways
2019-05-28,44.0219,Sideways
2019-05-29,43.755035,Sideways
2019-05-30,43.52818,Sideways
2019-05-31,43.545887,Sideways
2019-06-03,43.145412,Sideways
2019-06-04,42.700813,Sideways
2019-06-05,43.323734,Sideways
2019-06-06,44.05988,Sideways
2019-06-07,44.75794,Sideways
2019-06-10,45.724007,Sideways
2019-06-11,46.505974,Bear
2019-06-12,47.148026,Bear
2019-06-13,47.35491,Bear
2019-06-14,47.41836,Sideways
2019-06-17,47.25478,Sideways
2019-06-18,47.31665,Sideways
2019-06-19,47.958576,Sideways
2019-06-20,48.21648,Bull
2019-06-21,48.519676,Bull
2019-06-24,48.573742,Bull
2019-06-25,48.556984,Bull
2019-06-26,48.150505,Bull
2019-06-27,48.493153,Bull
2019-06-28,48.691795,Bull
2019-07-01,48.5356,Bull
2019-07-02,48.916904,Bull
2019-07-03,49.282207,Bull
2019-07-05,49.670124,Bull
2019-07-08,49.82711,Bull
2019-07-09,49.33295,Bull
2019-07-10,49.22368,Bull
2019-07-11,49.4594,Bull
2019-07-12,49.396378,Bull
2019-07-15,49.551422,Bull
2019-07-16,49.887436,Bull
2019-07-17,49.960964,Bull
2019-07-18,49.82731,Bull
2019-07-19,50.055492,Bull
2019-07-22,49.781616,Bull
2019-07-23,50.230385,Bull
2019-07-24,50.69634,Bull
2019-07-25,50.89012,Bull
2019-07-26,50.745834,Bull
2019-07-29,50.752377,Bull
2019-07-30,51.019875,Bull
2019-07-31,51.04229,Bull
2019-08-01,51.59572,Bull
2019-08-02,51.280724,Bull
2019-08-05,50.501698,Bull
2019-08-06,48.71242,Bull
2019-08-07,48.302353,Bull
2019-08-08,48.46898,Sideways
2019-08-09,49.15765,Sideways
2019-08-12,49.287838,Bull
2019-08-13,49.243954,Bull
2019-08-14,50.32969,Bull
2019-08-15,50.084137,Bull
2019-08-16,49.75256,Bull
2019-08-19,50.221107,Bull
2019-08-20,50.995773,Bull
2019-08-21,51.374218,Bull
2019-08-22,51.8237,Bull
2019-08-23,52.01238,Bull
2019-08-26,50.790726,Bull
2019-08-27,50.644432,Bull
2019-08-28,50.339867,Bull
2019-08-29,50.36965,Bull
2019-08-30,50.86267,Bull
2019-09-03,51.083847,Bull
2019-09-04,50.76793,Bull
2019-09-05,51.047085,Bull
2019-09-06,51.75248,Bull
2019-09-09,52.102535,Bull
2019-09-10,52.36108,Bull
2019-09-11,52.80782,Bull
2019-09-12,53.933258,Bull
2019-09-13,54.430405,Bull
2019-09-16,54.04883,Bull
2019-09-17,53.968975,Bull
2019-09-18,54.057854,Bull
2019-09-19,54.382835,Bull
2019-09-20,54.310024,Bull
2019-09-23,53.826164,Bull
2019-09-24,53.707363,Sideways
2019-09-25,53.539318,Sideways
2019-09-26,53.899548,Bull
2019-09-27,53.949272,Bull
2019-09-30,53.811264,Bull
2019-10-01,54.413322,Bull
2019-10-02,54.81991,Bull
2019-10-03,54.253883,Bull
2019-10-04,54.175682,Sideways
2019-10-07,54.985905,Sideways
2019-10-08,55.423054,Sideways
2019-10-09,55.25066,Sideways
2019-10-10,55.47858,Sideways
2019-10-11,56.012447,Sideways
2019-10-14,57.08386,Sideways
2019-10-15,57.567684,Bull
2019-10-16,57.681206,Bull
2019-10-17,57.585705,Bull
2019-10-18,57.64909,Bull
2019-10-21,57.838043,Bull
2019-10-22,58.473263,Bull
2019-10-23,58.722576,Bull
2019-10-24,59.236835,Bull
2019-10-25,59.543865,Bull
2019-10-28,60.067383,Bull
2019-10-29,60.64805,Bull
2019-10-30,60.162094,Bull
