Date,Predicted,RegimeCode,Actual_Price
2018-02-22,41.10383,-1,40.70151519775391
2018-02-23,41.24023,-1,41.40935897827149
2018-02-26,41.70431,-1,42.22811889648438
2018-02-27,42.386936,-1,42.091251373291016
2018-02-28,42.641983,-1,42.02755737304688
2018-03-01,42.697964,-1,41.29138946533203
2018-03-02,42.310112,-1,41.5768928527832
2018-03-05,42.258896,-1,41.7208251953125
2018-03-06,42.336006,-1,41.6854248046875
2018-03-07,42.360855,-1,41.29845428466797
2018-03-08,42.15799,-1,41.74912643432617
2018-03-09,42.29553,-1,42.46641540527343
2018-03-12,42.772213,-1,42.876983642578125
2018-03-13,43.238018,-1,42.46406173706055
2018-03-14,43.22711,0,42.103057861328125
2018-03-15,42.99466,0,42.15260696411133
2018-03-16,42.900505,-1,42.00395584106445
2018-03-19,42.78523,-1,41.36217498779297
2018-03-20,42.38081,-1,41.34801483154297
2018-03-21,42.16783,-1,40.41128540039063
2018-03-22,41.570847,-1,39.840293884277344
2018-03-23,40.95882,-1,38.91772079467773
2018-03-26,40.171703,-1,40.76521301269531
2018-03-27,40.80412,-1,39.71994400024414
2018-03-28,40.61679,-1,39.28108978271485
2018-03-29,40.23721,-1,39.58781814575195
2018-04-02,40.21623,-1,39.328269958496094
2018-04-03,40.087666,-1,39.731746673583984
2018-04-04,40.241047,-1,40.49151611328125
2018-04-05,40.74412,-1,40.77229690551758
2018-04-06,41.15182,-1,39.72938919067383
2018-04-09,40.76491,-1,40.1234245300293
2018-04-10,40.750084,-1,40.87847518920898
2018-04-11,41.17936,-1,40.68735122680664
2018-04-12,41.30214,-1,41.08845901489258
2018-04-13,41.557987,-1,41.2276725769043
2018-04-16,41.76081,-1,41.48485565185547
2018-04-17,41.991573,-1,42.05587387084961
2018-04-18,42.411694,-1,41.96147537231445
2018-04-19,42.5667,0,40.77229690551758
2018-04-20,41.97294,-1,39.10175323486328
2018-04-23,40.73988,-1,38.98851013183594
2018-04-24,40.067997,-1,38.4458122253418
2018-04-25,39.497982,-1,38.61333847045898
2018-04-26,39.332214,-1,38.747833251953125
2018-04-27,39.35424,-1,38.29953384399414
2018-04-30,39.131004,-1,38.99321365356445
2018-05-01,39.38955,0,39.89926910400391
2018-05-02,40.03354,-1,41.66183471679688
2018-05-03,41.316666,0,41.73733139038086
2018-05-04,41.991203,-1,43.37482070922852
2018-05-07,43.15669,-1,43.68864822387695
2018-05-08,43.898155,-1,43.89864349365234
2018-05-09,44.32866,-1,44.20773315429688
2018-05-10,44.677288,-1,44.8400764465332
2018-05-11,45.179295,-1,44.6695442199707
2018-05-14,45.329216,-1,44.56533432006836
2018-05-15,45.32013,-1,44.160301208496094
2018-05-16,45.085896,-1,44.57243347167969
2018-05-17,45.188984,-1,44.29056167602539
2018-05-18,45.10516,-1,44.12950134277344
2018-05-21,44.966953,-1,44.44215393066406
2018-05-22,45.070408,-1,44.330833435058594
2018-05-23,45.07307,-1,44.61506652832031
2018-05-24,45.222836,-1,44.56533432006836
2018-05-25,45.27429,-1,44.66716003417969
2018-05-29,45.347256,-1,44.50611114501953
2018-05-30,45.294533,-1,44.41137313842773
2018-05-31,45.21054,-1,44.26213455200195
2018-06-01,45.088467,-1,45.06037902832031
2018-06-04,45.46513,-1,45.436973571777344
2018-06-05,45.876442,-1,45.78752899169922
2018-06-06,46.259636,-1,45.94622039794922
2018-06-07,46.521282,-1,45.82305908203125
2018-06-08,46.567295,0,45.40616989135742
2018-06-11,46.347725,0,45.29486083984375
2018-06-12,46.169125,0,45.54356002807617
2018-06-13,46.2254,0,45.16932678222656
2018-06-14,46.062595,0,45.1930046081543
2018-06-15,45.986355,-1,44.728759765625
2018-06-18,45.70353,-1,44.705078125
2018-06-19,45.546738,-1,43.98263931274414
2018-06-20,45.088333,-1,44.17449951171875
2018-06-21,44.961807,-1,43.92817687988281
2018-06-22,44.790127,-1,43.80026626586914
2018-06-25,44.63783,-1,43.14889526367188
2018-06-26,44.21309,-1,43.6842041015625
2018-06-27,44.29108,-1,43.6202507019043
2018-06-28,44.324154,-1,43.93764877319336
2018-06-29,44.509212,-1,43.84527969360352
2018-07-02,44.55366,-1,44.3355712890625
2018-07-03,44.83231,-1,43.56341552734375
2018-07-05,44.55475,-1,43.91395950317383
2018-07-06,44.582073,-1,44.52268981933594
2018-07-09,44.94643,-1,45.14090347290039
2018-07-10,45.473522,-1,45.08642578125
2018-07-11,45.697556,-1,44.50137710571289
2018-07-12,45.4625,-1,45.24748229980469
2018-07-13,45.731796,-1,45.31854248046875
2018-07-16,45.927696,-1,45.21906280517578
2018-07-17,45.959446,-1,45.34696578979492
2018-07-18,46.033577,-1,45.09825897216797
2018-07-19,45.935165,-1,45.448822021484375
2018-07-20,46.070114,-1,45.3446044921875
